03 38 15	-02 29.4	 025.3	 -39  -31  -24
03 38 34	+03 27.3	 044.8	 +10  -15  -18
03 40 36	-24 37.2	 059.1	 +21  -39  -20
03 40 51	-09 55.9	 103.5	 -15  +29  +13
03 41 02	+16 31.1	 053.3	 -29  -17  -26
03 40 55	+16 30.8	 053.3	 -10  -19  -15
03 41 16	+45 52.8	 048.9	 -35  -19  +10
03 41 21	+24 43.1	 051.5	  -1   +1   -3
03 42 18	-38 26.5	 064.2	 -36  -16  -16
03 43 04	+68 30.9	 051.8	  +4   +3  +26
03 43 05	+68 31.2	 051.8	  +7   +5  +27
03 43 18	+26 03.8	 068.9	 -42  -17   -8
03 43 19	-28 01.2	 035.4	 -41  -26   -4
03 43 34	-64 57.8	 043.7	 -17  -57  -17
03 43 37	+41 17.4	 048.9	 -86  -93  -65
03 43 37	+41 17.5	 048.9	 -88  -93  -68
03 44 06	+23 50.5	 048.6	  -4   -3   -3
03 44 42	-23 23.8	 056.1	 +36  -22  -21
03 45 08	+23 59.4	 045.1	  -6   -2   -5
03 47 24	-64 59.4	 042.6	 -41  -52  +20
03 48 04	+23 45.2	 046.8	 -45  -17   -3
03 50 44	+61 01.4	 045.4	 -68  -14  +15
03 51 31	-37 11.9	 051.7	+120   +8  +31
03 52 09	-06 58.8	 069.8	 -66  +13  -30
03 52 55	+53 25.3	 053.6	 -17  -37   -7
03 54 49	+76 01.6	 049.2	 -59  -24   -9
03 54 57	-01 18.0	 071.7	  +6   +1  -17
03 54 57	-01 18.0	 071.7	  +0   -1  -22
03 56 49	+25 57.2	 043.8	-115  -52   +3
03 59 53	+35 09.3	 054.8	 -40 -187  +21
04 00 03	-00 24.2	 055.2	  -8  -27  -12
04 01 57	+00 06.9	 040.9	 +59  -10  -12
04 02 22	+21 52.5	 057.5	 -25  -15   -7
04 03 26	+82 47.4	 036.3	 -29   -9   -9
04 03 34	-27 47.2	 043.1	 -47  -39  -30
04 04 23	+69 24.8	 057.0	 -10  -23  -17
04 04 23	-20 58.5	 049.3	 +37  -61  -34
04 05 16	+37 54.6	 047.8	 -33  -18   -8
04 05 23	+33 30.2	 072.7	 -47   -7  +22
04 06 49	-64 21.5	 039.3	 -34  -28  -15
04 07 56	-53 30.7	 064.9	 -74  -82   -3
